Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Genre,Release Date,Popularity,Duration (ms),Chord
833,89,9,2020-09-11--2020-09-18,Bande organisée,"5,112,572","13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari",249910,"['french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']",2020-08-15,72,356347,F#/Gb
834,32,3,2020-10-02--2020-10-09,Crazy Over You,"5,056,387",BLACKPINK,23848461,"['k-pop', 'k-pop girl group']",2020-10-02,68,163946,E
835,109,2,2020-10-09--2020-10-16,"Baby, I'm Jealous (feat. Doja Cat)","4,870,203",Bebe Rexha,6569150,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2020-10-09,69,175873,B
836,15,21,2020-05-29--2020-06-05,TKN (feat. Travis Scott),"4,752,289",ROSALÍA,4769627,['r&b en espanol'],2020-05-28,75,129371,C
837,135,15,2020-08-28--2020-09-04,El Mismo Aire - con Pablo Alborán,"4,705,484",Camilo,10580764,"['colombian pop', 'reggaeton colombiano']",2020-06-10,75,188213,C
838,18,34,2020-04-03--2020-04-10,Yo Perreo Sola,"4,680,447",Bad Bunny,36177712,"['latin', 'reggaeton', 'trap latino']",2020-02-29,78,172127,B
839,192,1,2020-10-16--2020-10-23,Let Me Love You Like A Woman,"4,665,053",Lana Del Rey,13697048,"['art pop', 'pop']",2021-03-19,67,200661,C
840,69,22,2020-05-22--2020-05-29,DOLLAZ ON MY HEAD (feat. Young Thug),"4,652,712",Gunna,3337982,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",2020-05-22,76,197760,C
841,54,29,2020-06-05--2020-06-12,Elegí (feat. Dímelo Flow),"4,607,003","Rauw Alejandro, Dalex, Lenny Tavárez",6096559,"['puerto rican pop', 'trap latino']",2020-03-26,75,197721,C
842,77,34,2020-01-03--2020-01-10,July,"4,598,766",Noah Cyrus,891555,"['alt z', 'dance pop', 'pop', 'post-teen pop']",2020-05-15,81,156106,A
843,93,38,2020-02-07--2020-02-14,Bruises,"4,560,503",Lewis Capaldi,8388838,"['pop', 'uk pop']",2019-05-17,80,220492,E
844,46,2,2020-10-02--2020-10-09,You Never Know,"5,304,382",BLACKPINK,23848461,"['k-pop', 'k-pop girl group']",2021-08-03,54,229236,F
845,12,32,2020-04-17--2020-04-24,Supalonely,"5,089,970","BENEE, Gus Dapperton",638337,"['alt z', 'nz pop', 'pop']",2019-11-15,77,223480,G
846,53,2,2020-10-02--2020-10-09,Glock In My Lap,"4,947,593","21 Savage, Metro Boomin",9949044,"['atl hip hop', 'hip hop', 'rap', 'trap']",2020-10-02,69,193591,A#/Bb
847,49,4,2020-09-25--2020-10-02,Better,"4,933,462",ZAYN,16655692,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",2020-09-25,68,174517,D
848,59,3,2020-09-25--2020-10-02,forget me too (feat. Halsey),"4,751,756",Machine Gun Kelly,3868320,"['ohio hip hop', 'pop rap']",2020-09-25,78,171621,C#/Db
849,110,12,2020-09-04--2020-09-11,Oh Juliana,"4,751,064",Niack,352402,['funk carioca'],2020-06-30,66,153078,F#/Gb
850,81,16,2020-07-17--2020-07-24,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix","4,727,923","Feid, J Balvin, Justin Quiles",613348,"['colombian pop', 'latin', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino']",2020-06-26,70,333800,F#/Gb
851,108,17,2020-01-03--2020-01-10,No Guidance (feat. Drake),"4,641,393",Chris Brown,14073083,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",2019-06-28,80,260640,C#/Db
852,65,1,2020-10-02--2020-10-09,Rich Nigga Shit (feat. Young Thug),"9,129,562","21 Savage, Metro Boomin",9949044,"['atl hip hop', 'hip hop', 'rap', 'trap']",2020-10-02,73,190331,C#/Db
853,68,1,2020-10-02--2020-10-09,Many Men,"8,675,173","21 Savage, Metro Boomin",9949044,"['atl hip hop', 'hip hop', 'rap', 'trap']",2020-10-02,65,201856,A#/Bb
854,77,1,2020-10-02--2020-10-09,Slidin,"8,243,488","21 Savage, Metro Boomin",9949044,"['atl hip hop', 'hip hop', 'rap', 'trap']",2020-10-02,64,185037,D
855,84,1,2020-10-02--2020-10-09,Outta Time (feat. Drake),"7,762,934",Bryson Tiller,5019909,"['kentucky hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap']",2020-10-02,68,198822,F
856,131,1,2020-10-02--2020-10-09,My Dawg,"6,029,118","21 Savage, Metro Boomin",9949044,"['atl hip hop', 'hip hop', 'rap', 'trap']",2020-10-02,60,181716,C
857,138,1,2020-10-02--2020-10-09,Snitches & Rats (feat. Young Nudy),"5,846,760","21 Savage, Metro Boomin",9949044,"['atl hip hop', 'hip hop', 'rap', 'trap']",2020-10-02,57,187773,A
858,139,1,2020-10-02--2020-10-09,Brand New Draco,"5,841,110","21 Savage, Metro Boomin",9949044,"['atl hip hop', 'hip hop', 'rap', 'trap']",2020-10-02,63,202420,B
859,153,1,2020-10-02--2020-10-09,Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],"5,550,390",Internet Money,412466,"['pop rap', 'rap', 'trap']",2020-09-30,69,181496,C#/Db
860,77,2,2020-09-25--2020-10-02,Your Man,"5,233,336",Joji,4759367,"['alternative r&b', 'viral pop']",2020-09-24,68,163759,G
861,179,1,2020-10-02--2020-10-09,No Opp Left Behind,"5,154,955","21 Savage, Metro Boomin",9949044,"['atl hip hop', 'hip hop', 'rap', 'trap']",2020-10-02,61,194214,G#/Ab
862,106,5,2020-09-04--2020-09-11,Lets Link,"5,109,038",WhoHeem,25417,['viral rap'],2020-08-20,61,159955,A#/Bb
863,190,1,2020-10-02--2020-10-09,RIP Luv,"4,915,080","21 Savage, Metro Boomin",9949044,"['atl hip hop', 'hip hop', 'rap', 'trap']",2020-10-02,62,214192,F
864,197,1,2020-10-02--2020-10-09,Steppin On Niggas,"4,853,661","21 Savage, Metro Boomin",9949044,"['atl hip hop', 'hip hop', 'rap', 'trap']",2020-10-02,57,140833,G
